,brand,model,sku
244,philips/飞利浦, HR1604,"{'产品功能': '搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '白色'}"
245,philips/飞利浦, HR1609,"{'产品功能': '绞肉\xa0搅拌', '适用人数': '1-3人', '颜色分类': '白色'}"
246,philips/飞利浦, HR1626,"{'产品功能': '搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '白色'}"
247,philips/飞利浦, HR1608/03,"{'产品功能': '榨汁 切菜 绞肉 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
248,recolte/丽克特,RCP-2,"{'产品功能': '切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
249,philips/飞利浦, HR2056,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
250,philips/飞利浦, HR2062,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
251,smeg,SMF 01,"{'产品功能': '搅拌\xa0和面\xa0打蛋\xa0混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
252,philips/飞利浦, HR2100,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': 'HR2100黄色+销售票 HR2100黄色+机打发票'}"
253,robot-coupe/罗伯特.库伯,MICROMIX,"{'产品功能': '榨汁 绞肉 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '专柜YZ01+保修单'}"
254,philips/飞利浦, HR2100/40,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
255,philips/飞利浦, HR2166,"{'产品功能': '研磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '白色'}"
256,philips/飞利浦, HR3653,"{'产品功能': '绞肉 碎冰 干磨 搅拌 制奶昔', '适用人数': '1-3人', '颜色分类': 'HR3653+机打票据 HR3653+正规发票'}"
257,rosenstein&sohne,NC2406,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '黑色'}"
258,philips/飞利浦, hr2101,"{'产品功能': '搅拌', '适用人数': '1-3人', '颜色分类': '紫色'}"
259,philips/飞利浦, hr2872,"{'产品功能': '搅拌', '适用人数': '1-3人', '颜色分类': '红色'}"
260,philips/飞利浦, hr2874,"{'产品功能': '绞肉\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '其他/orther', '颜色分类': '白色'}"
261,ranbem/瑞本,767S,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '1-6人', '颜色分类': '红色'}"
262,ranbem/瑞本,768B,"{'产品功能': '蔬果 苹果 坚果 冰沙 豆浆 煲水 香粥 米糊 西汤 中汤 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
263,ranbem/瑞本,775,"{'产品功能': '豆浆、辅食、米糊 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
264,ranbem/瑞本,RBM-728,"{'产品功能': '榨汁 切菜 碎冰 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '红色'}"
265,ranbem/瑞本,RBM-768B,"{'产品功能': '榨汁', '适用人数': '5人及以上', '颜色分类': '蔚蓝\xa0嫣红\xa0橙黄'}"
266,ranbem/瑞本,RBM-775,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '香槟金'}"
267,royalstar/荣事达, RS-JR20E,"{'产品功能': '绞肉\xa0碎冰\xa0搅拌\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
268,royalstar/荣事达, RZ-1018C1,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
269,royalstar/荣事达, RZ-8001,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '不锈钢四件套（型号8001） 五件套含研磨杯（型号8012）'}"
270,severin,SM3710,"{'产品功能': '榨汁\xa0碎冰', '适用人数': '5人及以上', '颜色分类': 'BL80Y21+普快 BL80Y21+顺丰'}"
271,royalstar/荣事达, RZ-283,"{'产品功能': '点动,冰沙,五谷,研磨,果蔬\xa0榨汁\xa0碎冰\xa0干磨', '适用人数': '2-5人', '颜色分类': '红色'}"
272,royalstar/荣事达, RZ-378H,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0绞肉', '适用人数': '1-3人', '颜色分类': '绿色'}"
273,royalstar/荣事达, RZ-505,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
274,royalstar/荣事达, RZ-708H,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '红色'}"
275,royalstar/荣事达, RZ-8012,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
276,savtm/狮威特,BR11A,"{'产品功能': '五谷豆浆 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '银色'}"
277,severin,SM3739,"{'产品功能': '榨汁\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '黑色'}"
278,shield king/盾皇,DK-777,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
279,skg,1260C,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
280,skg,1290,"{'产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
281,stelang/雪特朗,ST-301A,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
282,supor/苏泊尔,BV501-300,"{'产品功能': '榨汁\xa0搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '白色'}"
283,supor/苏泊尔,JP06D-1300,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔', '适用人数': '1-3人', '颜色分类': '黑色'}"
284,supor/苏泊尔,JG32D-300,"{'产品功能': '干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
285,supor/苏泊尔,JP08P,"{'产品功能': '破壁\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
286,supor/苏泊尔,JM10-150,"{'产品功能': '干磨 混合', '适用人数': '1-6人', '颜色分类': 'BL25B31【普通快递】169 BL25B31【顺丰速运】179'}"
287,supor/苏泊尔,JP05D-1300,"{'产品功能': '搅拌', '适用人数': '4-5人', '颜色分类': '黑色'}"
288,supor/苏泊尔,JP08P-1300,"{'产品功能': '破壁 榨汁 绞肉 碎冰 干磨 搅拌 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
289,supor/苏泊尔,JP12D-800,"{'产品功能': '酱汁、冰沙、浓汤、坚果、豆浆\xa0榨汁\xa0干磨\xa0搅拌\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '香槟金'}"
290,supor/苏泊尔,JP13D-800,"{'产品功能': '搅拌', '适用人数': '4-5人', '颜色分类': '白色'}"
291,supor/苏泊尔,JP23D-1100,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌', '适用人数': '4-5人', '颜色分类': '银色'}"
292,supor/苏泊尔,JP37V-1300,"{'产品功能': '破壁 榨汁 绞肉 碎冰 干磨 搅拌 混合 绞肉', '适用人数': '4-5人', '颜色分类': '银色'}"
293,supor/苏泊尔,JS36D-300,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0切菜', '适用人数': '4-5人', '颜色分类': '红色'}"
294,supor/苏泊尔,JS39D-250,"{'产品功能': '果酱\xa0榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0制奶昔\xa0绞肉', '适用人数': '3-5人', '颜色分类': '粉色'}"
295,supor/苏泊尔,SJ609B-300,"{'产品功能': '切菜\xa0绞肉\xa0搅拌\xa0打蛋\xa0混合', '适用人数': '1-3人', '颜色分类': '红色'}"
296,supor/苏泊尔,TJE08A-250,"{'产品功能': '榨汁 碎冰 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '红色'}"
297,teables/泰博斯,SY-1,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '蓝色'}"
298,tescom,TMV1500,"{'产品功能': '真空料榨\xa0榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '白色'}"
299,wik/伟嘉,电动迷你搅拌机,"{'产品功能': '搅拌 制奶昔 混合', '适用人数': '4-5人', '颜色分类': '银色'}"
300,tescom,TMV1550,"{'产品功能': '真空保存\xa0榨汁\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-5人', '颜色分类': '玫瑰金'}"
301,topkitch,MS-1,"{'产品功能': '搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': 'MS-1单头奶昔机 MS-2双头奶昔机'}"
302,toplife/好生活,TL-7233DP,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
303,toplife/好生活,TL-783B,"{'产品功能': '加热\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '紫色'}"
304,ukoeo,PR6,"{'产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
305,ukoeo,PR9,"{'产品功能': '豆浆\xa0榨汁\xa0碎冰\xa0搅拌\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '粉色'}"
306,viomi/云米,YM-BH01,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '5人及以上', '颜色分类': '黑色'}"
307,westinghouse/西屋,A1,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
308,whirlpool/惠而浦,WBL-MS302D,"{'产品功能': '榨汁\xa0切菜\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '红色'}"
309,wmf,KULT X,"{'产品功能': '果酱\xa0榨汁\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '单独1个杯子0.6L 料理机1套(配1个杯子） 单独1个不锈钢保温杯 单独1个杯子0.3L'}"
310,信言,AMT2516,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
311,凯云,1251-3,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '红色'}"
312,凯云,KY- 602,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '【套餐一】单棒+料理杯 【套餐二】单棒+料理杯+打蛋器 凯云料理棒刀头'}"
313,凯云,KY-3,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '红色'}"
314,凯福赛,207,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
315,凯云,KY-601,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '银色'}"
316,凯云,LM-FS501,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
317,奥诺斯,AMS-998,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 绞肉', '适用人数': '5人及以上', '颜色分类': '2.5L(2000W) 4L(2300W) 5L(2600W)'}"
318,合慧,H1,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌', '适用人数': '4-5人', '颜色分类': '绿色'}"
319,合慧,H3,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
320,合慧,HH201,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '4-5人', '颜色分类': '红色'}"
321,喜贡,HL-1878,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
322,嘉和,MB-1001,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
323,奥诺斯,ANS-F900,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
324,小太阳,CS-767-5D,"{'产品功能': '豆浆果汁\xa0榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '蓝色'}"
325,小太阳,TM-3S,"{'产品功能': '豆浆\xa0榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
326,小太阳,TM-803T,"{'产品功能': '豆浆、果汁、浓汤\xa0榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '白色'}"
327,山雄,XZ-PB6818,"{'产品功能': '浓汤米糊\xa0榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '香槟金'}"
328,慧浦,CB-502,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '红色'}"
329,慧浦,HP-010,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
330,慧浦,YS-001,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
331,扬子,MB-1201J2,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '黑色'}"
332,朋客,SG-350B,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
333,朋客,SG-350C,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '1-3人', '颜色分类': '红色'}"
334,朋客,SG-350D,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
335,朋客,SG-350F,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
336,格明,K-06,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '5人及以上', '颜色分类': '香槟金'}"
337,格明,K28,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '香槟金'}"
338,欧麦斯,P802,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '灰色'}"
339,米技,HB3001,"{'产品功能': '榨汁\xa0绞肉\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '4-5人', '颜色分类': '美的正品 假一赔十 全国联保'}"
340,欧麦斯,P806,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '灰色'}"
341,水花,MB-1001,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 和面 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '白色'}"
342,水花,MB-1301K13,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 和面 打蛋 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
343,汉宝,HB-J303,"{'产品功能': '绞肉 干磨 搅拌 制奶昔', '适用人数': '4-5人', '颜色分类': '橙色 绿色'}"
344,沃佳健,HH-1001,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '1-3人', '颜色分类': '红色'}"
345,盛世旺牛,B6,"{'产品功能': '搅拌', '适用人数': '4-5人', '颜色分类': '明黄色'}"
346,盛世旺牛,HB-J801,"{'产品功能': '榨汁\xa0搅拌\xa0打蛋\xa0制奶昔', '适用人数': '4-5人', '颜色分类': '银色'}"
347,盛世旺牛,HB-J808,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
348,福菱,FL-001,"{'产品功能': '榨汁 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '1-3人', '颜色分类': '咖啡色'}"
349,福菱,FL1308,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '咖啡色'}"
350,福菱,FL2655,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '5人及以上', '颜色分类': '绿色'}"
351,福菱,FL2658,"{'产品功能': '蒸煮 榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
352,绿航,LH-513,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '粉色'}"
353,良太,2166,"{'产品功能': '榨汁 切菜 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉 切丝 切片', '适用人数': '4-5人', '颜色分类': '黑色'}"
354,蒙达,M-06B,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0和面\xa0制奶昔\xa0混合\xa0绞肉\xa0切丝 切片', '适用人数': '5人及以上', '颜色分类': '黑色'}"
355,蒙达,M-08,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0搅拌\xa0和面\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '黑色'}"
356,金厨喜,QC-888,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '粉色'}"
357,金正, 818A,"{'产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
358,金正, D30,"{'产品功能': '搅拌 混合', '适用人数': '1-3人', '颜色分类': '红色'}"
359,金正, JZPB-950,"{'产品功能': '榨汁\xa0碎冰\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
360,金正, JZW-2507,"{'产品功能': '榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0混合\xa0绞肉', '适用人数': '1-3人', '颜色分类': '粉色'}"
361,金正, JZPB-100D02,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0和面\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '紫色'}"
362,金正, JZPB-809A,"{'产品功能': '榨汁\xa0绞肉\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '白色'}"
363,金正, JZPB-810A,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '玫瑰金'}"
364,金正, JZPB-824B,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔', '适用人数': '5人及以上', '颜色分类': '红'}"
365,金正, JZPB-960,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0制奶昔\xa0混合', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
366,金正, JZR-R329,"{'产品功能': '绞肉\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '5人及以上', '颜色分类': '粉色'}"
367,金耐欧,180B,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 打蛋 制奶昔 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
368,隆粤,LY-350,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '灰色'}"
369,隆粤,LY-389,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 制奶昔 绞肉', '适用人数': '4-5人', '颜色分类': '玫瑰金'}"
370,韩伟,M350,"{'产品功能': '榨汁\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0混合', '适用人数': '4-5人', '颜色分类': '红色'}"
371,高博,BL513,"{'产品功能': '榨汁\xa0切菜\xa0绞肉\xa0碎冰\xa0干磨\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合\xa0绞肉', '适用人数': '4-5人', '颜色分类': '黑色'}"
372,高博,SM-505,"{'产品功能': '鱼汤，豆浆\xa0榨汁\xa0碎冰\xa0搅拌\xa0打蛋\xa0制奶昔\xa0混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
373,高博,SM-508,"{'产品功能': '豆浆，鱼汤\xa0榨汁\xa0碎冰\xa0干磨\xa0搅拌\xa0混合', '适用人数': '5人及以上', '颜色分类': '红色'}"
374,麦宁,MN2118,"{'产品功能': '榨汁 绞肉 碎冰 干磨 搅拌 混合 绞肉', '适用人数': '4-5人', '颜色分类': '红色'}"
