,brand-model,1st sm,1st share,2nd sm,2nd share,3rd sm,3rd share,4th sm,4th share,5th sm,5th share,image_url
0,1号宝贝-OUYOU0011,小容量,26.38%,手持,25.24%,婴儿辅食,21.71%,智能,14.87%,全自动,11.81%,http://img.alicdn.com/imgextra/i2/3480261630/TB2hsDSjdnJ8KJjSszdXXaxuFXa_!!3480261630.jpg
1,aca/北美电器-55522,婴儿辅食,23.06%,智能,21.27%,小容量,20.9%,手持,20.39%,全自动,14.37%,http://img.alicdn.com/imgextra/i4/2146937119/TB1ph41sbSYBuNjSspfXXcZCpXa_!!0-item_pic.jpg
2,aca/北美电器-AF-OR01,智能,30.53%,婴儿辅食,21.81%,手持,21.34%,小容量,19.24%,全自动,7.08%,http://img.alicdn.com/imgextra/i1/702016902/TB1oZSGuf1TBuNjy0FjXXajyXXa_!!0-item_pic.jpg
3,aca/北美电器-AHM-S300,智能,24.47%,婴儿辅食,22.81%,手持,19.96%,小容量,19.93%,全自动,12.83%,http://img.alicdn.com/imgextra/i3/1720491245/TB2QoqoppOWBuNjy0FiXXXFxVXa_!!1720491245-0-item_pic.jpg
4,amoi/夏新-TL-GB990,智能,30.81%,婴儿辅食,22.01%,手持,19.2%,小容量,18.18%,全自动,9.81%,http://img.alicdn.com/imgextra/i2/2447836580/TB2j6ULnStYBeNjSspkXXbU8VXa_!!2447836580-0-item_pic.jpg
5,ashton/阿诗顿-BL-175,智能,47.09%,婴儿辅食,25.37%,小容量,13.52%,手持,12.2%,全自动,1.82%,http://img.alicdn.com/imgextra/i3/3071601281/TB2DqAomZjI8KJjSsppXXXbyVXa_!!3071601281.jpg
6,aunt mary/玛莉阿姨-HL-1888,智能,37.13%,婴儿辅食,21.75%,手持,17.59%,小容量,16.79%,全自动,6.74%,http://img.alicdn.com/imgextra/i2/2938915279/TB2WcJ.ouuSBuNjy1XcXXcYjFXa_!!2938915279.jpg
7,aunt mary/玛莉阿姨-HL-1898,智能,37.59%,婴儿辅食,21.77%,手持,17.53%,小容量,16.66%,全自动,6.46%,http://img.alicdn.com/imgextra/i2/2938915279/TB26mnlcr1YBuNjSszhXXcUsFXa_!!2938915279.jpg
8,aux/奥克斯-HX-390,智能,34.15%,婴儿辅食,21.43%,手持,20.6%,小容量,18.84%,全自动,4.99%,http://img.alicdn.com/imgextra/i2/2047124908/TB2iIGZf26H8KJjSspmXXb2WXXa_!!2047124908.jpg
9,aux/奥克斯-HX-401G,婴儿辅食,24.45%,小容量,20.68%,智能,20.44%,手持,19.76%,全自动,14.67%,http://img.alicdn.com/imgextra/i3/1046626823/TB1ywaGcpuWBuNjSszbXXcS7FXa_!!0-item_pic.jpg
10,aux/奥克斯-HX-FS01,智能,25.28%,婴儿辅食,22.66%,手持,19.84%,小容量,19.63%,全自动,12.58%,http://img.alicdn.com/imgextra/i3/732062877/TB2uNO6sYSYBuNjSspfXXcZCpXa_!!732062877-0-item_pic.jpg
11,bamix-G200 350,智能,29.02%,婴儿辅食,22.68%,手持,19.04%,小容量,18.6%,全自动,10.65%,http://img.alicdn.com/imgextra/i2/274764304/TB2P39cmS8mpuFjSZFMXXaxpVXa_!!274764304.jpg
12,bamix-G200 G350,智能,27.13%,婴儿辅食,22.22%,手持,19.55%,小容量,17.85%,全自动,13.24%,http://img.alicdn.com/imgextra/i2/876965799/TB2wUQhsY1YBuNjSszhXXcUsFXa_!!876965799.jpg
13,bamix-M200,智能,37.12%,婴儿辅食,23.49%,小容量,16.22%,手持,14.77%,全自动,8.39%,http://img.alicdn.com/imgextra/i2/210710879/TB27bs3XcIa61Bjy0FiXXc1XpXa_!!210710879.jpg
14,bamix-UNOLD ESGE,智能,23.65%,婴儿辅食,22.63%,手持,20.29%,小容量,20.1%,全自动,13.34%,http://img.alicdn.com/imgextra/i1/2829060891/TB2A.0UaYSYBuNjSspiXXXNzpXa_!!2829060891.jpg
15,barsone/朋森-BS-05L01,智能,38.25%,婴儿辅食,20.91%,手持,19.53%,小容量,18.04%,全自动,3.26%,http://img.alicdn.com/imgextra/i4/2139274692/TB24qZulLuSBuNkHFqDXXXfhVXa_!!2139274692.jpg
16,bear/小熊-JBQ-A05D2,婴儿辅食,24.49%,手持,23.52%,小容量,23.25%,全自动,16.99%,智能,11.75%,http://img.alicdn.com/imgextra/i1/2212201876/TB2apYmmL9TBuNjy1zbXXXpepXa_!!2212201876-0-item_pic.jpg
17,bear/小熊-JBQ-D05A1,智能,32.64%,婴儿辅食,23.29%,小容量,18.39%,手持,17.75%,全自动,7.93%,http://img.alicdn.com/imgextra/i2/175592270/TB2X9y7huuSBuNjy1XcXXcYjFXa_!!175592270-0-item_pic.jpg
18,bear/小熊-JBQ-D05D2,小容量,28.39%,手持,25.57%,婴儿辅食,23.51%,全自动,21.56%,智能,0.97%,http://img.alicdn.com/imgextra/i3/740969168/TB2FkhGmNBmpuFjSZFsXXcXpFXa_!!740969168.jpg
19,bear/小熊-JBQ-D131,智能,26.71%,婴儿辅食,22.9%,手持,19.75%,小容量,18.95%,全自动,11.68%,http://img.alicdn.com/imgextra/i4/335437311/TB2G2k8nFXXXXXzXpXXXXXXXXXX_!!335437311.jpg
20,bear/小熊-JBQ-D1355,小容量,26.36%,全自动,25.44%,手持,24.36%,婴儿辅食,23.42%,智能,0.43%,http://img.alicdn.com/imgextra/i4/2223303486/TB2rCNYs29TBuNjy1zbXXXpepXa_!!2223303486-0-item_pic.jpg
21,bear/小熊-LB-P919,智能,51.48%,手持,16.62%,婴儿辅食,16.0%,小容量,10.84%,全自动,5.05%,http://img.alicdn.com/imgextra/i3/263561086/TB2fgWLpGSWBuNjSsrbXXa0mVXa_!!263561086.jpg
22,bear/小熊-LB-P928,智能,34.53%,婴儿辅食,21.64%,手持,18.01%,小容量,17.07%,全自动,8.74%,http://img.alicdn.com/imgextra/i3/2020509878/TB2KWOzzbxmpuFjSZJiXXXauVXa_!!2020509878.jpg
23,bear/小熊-LLJ-A05H1,智能,24.79%,婴儿辅食,22.74%,手持,20.35%,小容量,19.28%,全自动,12.84%,http://img.alicdn.com/imgextra/i4/2248962756/TB1oNinjQOWBuNjSsppXXXPgpXa_!!0-item_pic.jpg
24,bear/小熊-LLJ-A12A1,智能,48.61%,全自动,28.55%,手持,11.18%,婴儿辅食,7.3%,小容量,4.35%,http://img.alicdn.com/imgextra/i3/695320823/TB2VjsZmQCWBuNjy0FaXXXUlXXa_!!695320823.jpg
25,bear/小熊-LLJ-A12G1,智能,30.56%,婴儿辅食,22.42%,手持,19.2%,小容量,17.9%,全自动,9.92%,http://img.alicdn.com/imgextra/i1/2454077880/TB2RXM_s_lYBeNjSszcXXbwhFXa_!!2454077880-0-item_pic.jpg
26,bear/小熊-LLJ-A12Q3,智能,37.94%,手持,21.7%,小容量,18.27%,婴儿辅食,17.38%,全自动,4.7%,http://img.alicdn.com/imgextra/i3/2086365720/TB1SIzCmV9gSKJjSspbXXbeNXXa_!!0-item_pic.jpg
27,bear/小熊-LLJ-A12W8,智能,32.86%,婴儿辅食,21.43%,手持,21.08%,小容量,18.72%,全自动,5.91%,http://img.alicdn.com/imgextra/i1/TB1VbEYJpXXXXXWaXXXXXXXXXXX_!!0-item_pic.jpg
28,bear/小熊-LLJ-B08D1,智能,26.51%,婴儿辅食,22.42%,手持,19.81%,小容量,19.23%,全自动,12.03%,http://img.alicdn.com/imgextra/i1/1821191022/TB1C.cznsLJ8KJjy0FnXXcFDpXa_!!0-item_pic.jpg
29,bear/小熊-LLJ-B08G2,智能,27.23%,婴儿辅食,20.98%,小容量,18.97%,手持,18.9%,全自动,13.92%,http://img.alicdn.com/imgextra/i2/2212201876/TB2MWhBor1YBuNjSszeXXablFXa_!!2212201876-0-item_pic.jpg
30,bear/小熊-LLJ-B08J5,智能,33.18%,手持,23.91%,婴儿辅食,20.03%,小容量,18.56%,全自动,4.33%,http://img.alicdn.com/imgextra/i2/TB1.GxxJXXXXXbfXpXXXXXXXXXX_!!0-item_pic.jpg
31,bear/小熊-LLJ-B12A1,智能,34.9%,婴儿辅食,21.22%,手持,19.64%,小容量,16.07%,全自动,8.17%,http://img.alicdn.com/imgextra/i3/175592270/TB29yvbb5MnBKNjSZFzXXc_qVXa_!!175592270-0-item_pic.jpg
32,bear/小熊-LLJ-B12K1,智能,42.81%,全自动,19.4%,手持,16.14%,小容量,12.19%,婴儿辅食,9.47%,http://img.alicdn.com/imgextra/i3/175592270/TB2Gtg.hDtYBeNjy1XdXXXXyVXa_!!175592270-0-item_pic.jpg
33,bear/小熊-QSJ-A01F2,小容量,34.85%,手持,23.37%,全自动,17.16%,婴儿辅食,13.3%,智能,11.32%,http://img.alicdn.com/imgextra/i2/2223303486/TB1pAOlgBjTBKNjSZFuXXb0HFXa_!!0-item_pic.jpg
34,bear/小熊-QSJ-B02S1,智能,26.5%,婴儿辅食,21.13%,手持,19.95%,小容量,18.78%,全自动,13.65%,http://img.alicdn.com/imgextra/i3/2704407242/TB2d3XZuh9YBuNjy0FfXXXIsVXa_!!2704407242.jpg
35,bear/小熊-QSJ-B02U2,小容量,25.44%,手持,23.63%,婴儿辅食,22.07%,智能,15.88%,全自动,12.99%,http://img.alicdn.com/imgextra/i2/2492836366/TB24gw7fIyYBuNkSnfoXXcWgVXa_!!2492836366.jpg
36,bear/小熊-QSJ-B02X5,小容量,25.6%,手持,23.4%,婴儿辅食,22.11%,智能,14.51%,全自动,14.39%,http://img.alicdn.com/imgextra/i3/2175769676/TB2PT04pxSYBuNjSsphXXbGvVXa_!!2175769676.jpg
37,bear/小熊-QSJ-B03D1,智能,23.36%,婴儿辅食,22.72%,手持,20.56%,小容量,20.01%,全自动,13.36%,http://img.alicdn.com/imgextra/i3/TB1y0aULVXXXXXqXFXXXXXXXXXX_!!0-item_pic.jpg
38,bear/小熊-QSJ-B03R2,智能,23.18%,婴儿辅食,23.06%,手持,20.56%,小容量,19.74%,全自动,13.46%,http://img.alicdn.com/imgextra/i3/175592270/TB2nM0auDtYBeNjy1XdXXXXyVXa_!!175592270-0-item_pic.jpg
39,binglo-HS-302H,智能,29.51%,婴儿辅食,22.18%,手持,19.41%,小容量,18.41%,全自动,10.49%,http://img.alicdn.com/imgextra/i1/112099094/TB2pvEFphSYBuNjSspjXXX73VXa_!!112099094.jpg
40,blendtec-DESIGNER 625,婴儿辅食,22.75%,智能,22.54%,手持,20.62%,小容量,20.21%,全自动,13.88%,http://img.alicdn.com/imgextra/i1/485552487/TB2xrlqub5YBuNjSspoXXbeNFXa_!!485552487.jpg
41,bosch/博世-54A00,智能,32.34%,婴儿辅食,22.22%,手持,18.6%,小容量,17.71%,全自动,9.14%,http://img.alicdn.com/imgextra/i3/48333793/TB2vLVIcFXXXXaEXpXXXXXXXXXX-48333793.jpg
42,bosch/博世-MFZ4050,婴儿辅食,23.45%,手持,21.54%,小容量,21.2%,智能,17.89%,全自动,15.92%,http://img.alicdn.com/imgextra/i4/666900686/TB2XXwtoFXXXXXGXFXXXXXXXXXX_!!666900686.jpg
43,bosch/博世-MSM2410,智能,30.36%,婴儿辅食,22.56%,手持,19.02%,小容量,18.1%,全自动,9.97%,http://img.alicdn.com/imgextra/i3/2829060891/TB2bExydScqBKNjSZFgXXX_kXXa_!!2829060891.jpg
44,bosch/博世-MSM66020,婴儿辅食,23.04%,智能,21.51%,手持,20.9%,小容量,20.17%,全自动,14.38%,http://img.alicdn.com/imgextra/i3/2829060891/TB2pxmdj8HH8KJjy0FbXXcqlpXa_!!2829060891.jpg
45,bosch/博世-MSME6110CN,智能,25.48%,婴儿辅食,22.92%,手持,19.85%,小容量,19.26%,全自动,12.49%,http://img.alicdn.com/imgextra/i1/1990484446/TB2shtagYZnBKNjSZFGXXbt3FXa_!!1990484446.jpg
46,bosch/博世-MSME7414CN,婴儿辅食,21.89%,小容量,21.32%,智能,20.84%,手持,19.86%,全自动,16.1%,http://img.alicdn.com/imgextra/i4/TB1OePCRpXXXXXBaVXXXXXXXXXX_!!0-item_pic.jpg
47,bosch/博世-MSMM8910CN,智能,26.19%,婴儿辅食,22.85%,手持,19.56%,小容量,19.26%,全自动,12.15%,http://img.alicdn.com/imgextra/i2/1990484446/TB2afKrtY5YBuNjSspoXXbeNFXa_!!1990484446.jpg
48,braun/博朗-4179,婴儿辅食,23.26%,手持,20.98%,智能,20.59%,小容量,20.49%,全自动,14.68%,http://img.alicdn.com/imgextra/i2/1911588863/TB1F6zCcxrI8KJjy0FpXXb5hVXa_!!0-item_pic.jpg
49,braun/博朗-FP3010,智能,28.12%,婴儿辅食,22.5%,手持,19.28%,小容量,19.01%,全自动,11.09%,http://img.alicdn.com/imgextra/i1/290437336/TB2lf9dbnwKL1JjSZFgXXb6aVXa_!!290437336.jpg
50,braun/博朗-JB7192,智能,30.24%,婴儿辅食,22.37%,手持,19.22%,小容量,18.04%,全自动,10.13%,http://img.alicdn.com/imgextra/i3/290437336/TB2Aii5X.z.BuNjt_bXXXcQmpXa_!!290437336.jpg
51,braun/博朗-JM3013,智能,31.25%,婴儿辅食,22.46%,手持,18.81%,小容量,17.83%,全自动,9.65%,http://img.alicdn.com/imgextra/i3/1916444706/TB2W4TOgTlYBeNjSszcXXbwhFXa_!!1916444706.jpg
52,braun/博朗-MQ300,智能,26.78%,婴儿辅食,23.05%,手持,19.66%,小容量,19.02%,全自动,11.5%,http://img.alicdn.com/imgextra/i3/1911588863/TB2KhXKgvImBKNjSZFlXXc43FXa_!!1911588863.jpg
53,braun/博朗-MQ3000,智能,27.31%,婴儿辅食,22.74%,手持,19.67%,小容量,18.83%,全自动,11.45%,http://img.alicdn.com/imgextra/i1/1911588863/TB2wLverN1YBuNjy1zcXXbNcXXa_!!1911588863.jpg
54,braun/博朗-MQ3025,智能,31.79%,婴儿辅食,22.58%,手持,18.69%,小容量,17.74%,全自动,9.2%,http://img.alicdn.com/imgextra/i3/1911588863/TB2jQsLs7SWBuNjSszdXXbeSpXa_!!1911588863.jpg
55,braun/博朗-MQ325,智能,24.2%,婴儿辅食,23.24%,手持,20.11%,小容量,19.63%,全自动,12.81%,http://img.alicdn.com/imgextra/i1/485552487/TB2K_OYpSBYBeNjy0FeXXbnmFXa_!!485552487.jpg
56,braun/博朗-MQ500,智能,33.84%,婴儿辅食,22.15%,手持,18.51%,小容量,17.08%,全自动,8.41%,http://img.alicdn.com/imgextra/i3/22502798/TB2blRnmXXXXXXmXXXXXXXXXXXX_!!22502798.jpg
57,braun/博朗-MQ5025,智能,32.39%,婴儿辅食,22.49%,手持,18.51%,小容量,17.65%,全自动,8.96%,http://img.alicdn.com/imgextra/i1/1911588863/TB2dg5Igv6TBKNjSZJiXXbKVFXa_!!1911588863.jpg
58,braun/博朗-MQ5035,智能,29.14%,婴儿辅食,22.58%,手持,19.09%,小容量,18.44%,全自动,10.76%,http://img.alicdn.com/imgextra/i4/1911588863/TB2eSMlgKEJL1JjSZFGXXa6OXXa_!!1911588863.jpg
59,braun/博朗-MQ505,智能,24.59%,婴儿辅食,23.24%,手持,20.08%,小容量,19.58%,全自动,12.5%,http://img.alicdn.com/imgextra/i4/2896320679/TB14sAcueGSBuNjSspbXXciipXa_!!0-item_pic.jpg
60,braun/博朗-MQ525,智能,30.21%,婴儿辅食,22.64%,手持,19.04%,小容量,17.97%,全自动,10.14%,http://img.alicdn.com/imgextra/i3/485552487/TB2yUqapQSWBuNjSszdXXbeSpXa_!!485552487.jpg
61,braun/博朗-MQ530,智能,26.56%,婴儿辅食,22.81%,手持,19.66%,小容量,19.05%,全自动,11.92%,http://img.alicdn.com/imgextra/i1/1626645831/TB22syhaGagSKJjy0FcXXcZeVXa_!!1626645831.jpg
62,braun/博朗-MQ545,智能,29.72%,婴儿辅食,22.77%,手持,19.17%,小容量,18.23%,全自动,10.1%,http://img.alicdn.com/imgextra/i4/2591395636/TB223Q6t9tYBeNjSspkXXbU8VXa_!!2591395636.jpg
63,braun/博朗-MQ700,智能,35.9%,婴儿辅食,21.72%,手持,17.88%,小容量,17.12%,全自动,7.38%,http://img.alicdn.com/imgextra/i2/22502798/TB2uDj2nVXXXXbWXpXXXXXXXXXX_!!22502798.jpg
64,braun/博朗-MQ700料理机配件,婴儿辅食,23.03%,智能,22.84%,手持,20.53%,小容量,20.01%,全自动,13.59%,http://img.alicdn.com/imgextra/i2/485552487/TB2fTYWowxlpuFjSszbXXcSVpXa_!!485552487.jpg
65,braun/博朗-MQ705,智能,23.27%,婴儿辅食,23.18%,手持,20.25%,小容量,19.95%,全自动,13.36%,http://img.alicdn.com/imgextra/i2/485552487/TB2.v8ApQ9WBuNjSspeXXaz5VXa_!!485552487.jpg
66,braun/博朗-MQ745/MQ785,智能,31.08%,婴儿辅食,22.3%,手持,18.58%,小容量,18.26%,全自动,9.79%,http://img.alicdn.com/imgextra/i3/2549841410/TB1sJjxa29TBuNjy1zbXXXpepXa_!!0-item_pic.jpg
67,braun/博朗-MQ785,智能,28.54%,婴儿辅食,22.67%,手持,19.15%,小容量,18.58%,全自动,11.07%,http://img.alicdn.com/imgextra/i4/2829060891/TB2keh8aPmfF1JjSspcXXXZMXXa_!!2829060891.jpg
68,braun/博朗-MQ787,智能,27.81%,婴儿辅食,22.75%,手持,19.24%,小容量,18.92%,全自动,11.27%,http://img.alicdn.com/imgextra/i3/2591395636/TB2MT7JreuSBuNjy1XcXXcYjFXa_!!2591395636.jpg
69,braun/博朗-MQ9087X,智能,32.42%,婴儿辅食,22.31%,手持,18.35%,小容量,17.73%,全自动,9.2%,http://img.alicdn.com/imgextra/i1/1911588863/TB2vQACeOMnBKNjSZFoXXbOSFXa_!!1911588863.jpg
70,clara-MST-PBJ-V30,智能,28.29%,婴儿辅食,22.39%,手持,19.75%,小容量,18.58%,全自动,10.99%,http://img.alicdn.com/imgextra/i4/2506010982/TB2v.2Pe3aTBuNjSszfXXXgfpXa_!!2506010982.jpg
71,clara-XD-K20E,智能,35.26%,婴儿辅食,21.79%,手持,18.1%,小容量,17.24%,全自动,7.62%,http://img.alicdn.com/imgextra/i2/2506010982/TB2mPHjjDTI8KJjSsphXXcFppXa_!!2506010982.jpg
72,climax/客来美-HA-3093,智能,25.93%,婴儿辅食,22.91%,手持,19.62%,小容量,19.43%,全自动,12.11%,http://img.alicdn.com/imgextra/i4/923508751/TB1.n5Vlj3z9KJjy0FmXXXiwXXa_!!0-item_pic.jpg
73,dark horse/黑马-KM-699,智能,37.01%,婴儿辅食,23.0%,小容量,16.58%,手持,16.48%,全自动,6.93%,http://img.alicdn.com/imgextra/i4/2257369559/TB2qNpfasUrBKNjSZPxXXX00pXa_!!2257369559.jpg
74,deass/德氏-FE318F1,智能,34.24%,婴儿辅食,21.89%,手持,18.26%,小容量,17.48%,全自动,8.13%,http://img.alicdn.com/imgextra/i4/541014343/TB2yLZOd1uSBuNjSsziXXbq8pXa_!!541014343.jpg
75,electrolux/伊莱克斯-EMB3005,智能,30.48%,婴儿辅食,22.3%,手持,18.91%,小容量,17.4%,全自动,10.91%,http://img.alicdn.com/imgextra/i4/1718453972/TB2M3fRtkSWBuNjSszdXXbeSpXa_!!1718453972-0-item_pic.jpg
76,fagor/法格-BV-373B,手持,25.25%,小容量,24.37%,婴儿辅食,23.59%,智能,14.29%,全自动,12.5%,http://img.alicdn.com/imgextra/i3/3392507673/TB2x4eKs29TBuNjy1zbXXXpepXa_!!3392507673.jpg
77,fagor/法格-BV-375KNA,智能,32.39%,婴儿辅食,22.01%,手持,18.5%,小容量,17.88%,全自动,9.23%,http://img.alicdn.com/imgextra/i4/3392507673/TB2DQNGs9BYBeNjy0FeXXbnmFXa_!!3392507673.jpg
78,fornonr/方奈优品-FN-800,全自动,40.91%,婴儿辅食,25.78%,小容量,17.01%,手持,9.91%,智能,6.39%,http://img.alicdn.com/imgextra/i3/62150572/TB24pgseRnTBKNjSZPfXXbf1XXa_!!62150572.jpg
79,fronton/弗朗顿-JB-1525AG,智能,33.7%,婴儿辅食,21.94%,手持,18.14%,小容量,17.64%,全自动,8.58%,http://img.alicdn.com/imgextra/i3/3707995535/TB2HZr1cRjTBKNjSZFwXXcG4XXa_!!3707995535.jpg
80,fronton/弗朗顿-MNS-PB106,智能,28.16%,婴儿辅食,22.5%,手持,19.26%,小容量,18.88%,全自动,11.19%,http://img.alicdn.com/imgextra/i1/3707995535/TB2R6WInf9TBuNjy0FcXXbeiFXa_!!3707995535.jpg
81,fulaier/福莱尔-FLE-219C,智能,49.31%,婴儿辅食,21.65%,手持,13.99%,小容量,12.07%,全自动,2.98%,http://img.alicdn.com/imgextra/i4/2234061048/TB2r2axk2uSBuNkHFqDXXXfhVXa_!!2234061048-0-item_pic.jpg
82,fulaier/福莱尔-FLE-219F,智能,33.06%,婴儿辅食,21.95%,手持,18.52%,小容量,17.77%,全自动,8.7%,http://img.alicdn.com/imgextra/i1/2234061048/TB2wVL9gDqWBKNjSZFAXXanSpXa_!!2234061048.jpg
83,fulaier/福莱尔-FLE518A,智能,40.3%,全自动,25.82%,小容量,17.15%,手持,9.02%,婴儿辅食,7.7%,http://img.alicdn.com/imgextra/i3/2234061048/TB1HY6Ccx6I8KJjy0FgXXXXzVXa_!!0-item_pic.jpg
84,fxunshi/华迅仕-MD-8500A,智能,27.92%,婴儿辅食,22.43%,手持,19.17%,小容量,19.17%,全自动,11.32%,http://img.alicdn.com/imgextra/i1/570229670/TB2kboIcpuWBuNjSspnXXX1NVXa_!!570229670.jpg
85,gemside/捷赛-JSP01,智能,36.49%,婴儿辅食,20.98%,手持,20.09%,小容量,18.34%,全自动,4.1%,http://img.alicdn.com/imgextra/i3/675256716/TB22DVCtDJYBeNjy1zeXXahzVXa_!!675256716-0-item_pic.jpg
86,german pool/德国宝-PRO-10,智能,36.11%,婴儿辅食,21.24%,手持,18.02%,小容量,16.67%,全自动,7.97%,http://img.alicdn.com/imgextra/i1/2108203872/TB1xWaHpr5YBuNjSspoXXbeNFXa_!!0-item_pic.jpg
87,haier/海尔-HBB-B0105,智能,28.73%,婴儿辅食,22.67%,手持,19.26%,小容量,18.37%,全自动,10.97%,http://img.alicdn.com/imgextra/i1/1044027666/TB2V7xrsGmWBuNjy1XaXXXCbXXa_!!1044027666.jpg
88,hattiecs/海蒂诗-AJ-5123,智能,28.83%,婴儿辅食,22.56%,手持,19.6%,小容量,18.37%,全自动,10.63%,http://img.alicdn.com/imgextra/i1/137861347/TB2iPrOsuSSBuNjy0FlXXbBpVXa_!!137861347.jpg
